City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
1,La Ronge,CA,82.44,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
2,Yinchuan,CN,73.71,light rain,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
3,Kavieng,PG,83.48,light rain,-2.5744,150.7967,Nusa Island Retreat
4,Mecca,SA,85.64,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
5,Wanning,CN,80.78,overcast clouds,18.8003,110.3967,Paradise Hotel
6,Prainha,BR,77.9,broken clouds,-1.8,-53.48,Casa Rocha
7,Kawalu,ID,71.49,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
8,Changji,CN,74.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
9,Atuona,PF,77.67,few clouds,-9.8,-139.0333,Villa Enata
10,Avarua,CK,80.65,moderate rain,-21.2078,-159.775,Paradise Inn
12,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
13,Port Blair,IN,81.21,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Yellowknife,CA,89.56,clear sky,62.456,-114.3525,The Explorer Hotel
17,Hilo,US,78.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
18,Ajdabiya,LY,88.18,clear sky,30.7554,20.2263,Almadina Hotel
19,Vaitape,PF,79.05,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
20,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Vila Velha,BR,72.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
22,Flagstaff,US,89.89,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
23,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
24,Bandarbeyla,SO,78.3,few clouds,9.4942,50.8122,JABIR HOTEL
25,Hasaki,JP,84.42,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
26,Ribeira Grande,PT,73.33,broken clouds,38.5167,-28.7,Quinta da Meia Eira
27,Havelock,US,80.55,broken clouds,34.8791,-76.9013,Sherwood Motel
28,Palu,ID,76.6,light rain,-0.8917,119.8707,Hotel Santika Palu
29,Sorong,ID,79.63,broken clouds,-0.8833,131.25,waigo splash hotel
30,Fereydun Kenar,IR,80.26,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
31,Anori,BR,80.06,broken clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
32,Along,IN,73.31,overcast clouds,28.1667,94.7667,Hotel West
33,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
34,Fort Nelson,CA,76.59,smoke,58.8053,-122.7002,The Fort Nelson Hotel
36,Campoverde,PE,83.89,clear sky,-8.4753,-74.8058,Hospedaje Coral's
39,Miraflores,MX,75.85,overcast clouds,19.2167,-98.8083,Hotel Mansión
40,Waingapu,ID,76.44,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
41,Makakilo City,US,88.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
42,Takoradi,GH,76.59,broken clouds,4.8845,-1.7554,Raybow International Hotel
43,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
44,Sechura,PE,71.46,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
46,Butaritari,KI,82.85,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
48,Jamestown,US,71.37,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Katsuura,JP,86.14,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
50,Kailua,US,89.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
51,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Tecoanapa,MX,86.95,scattered clouds,16.5167,-98.75,Hotel Manglares
53,Harindanga,IN,82.38,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
54,Bethel,US,78.73,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
55,Sibolga,ID,75.9,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
56,Tabou,CI,75.58,scattered clouds,4.423,-7.3528,hotêl doufoulougou
57,Sioux Lookout,CA,77.79,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
58,Kutum,SD,72.86,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
59,Ca Mau,VN,77.14,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
