City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,38.86,81,75,21.85,heavy intensity rain
1,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,9,7.2,clear sky
2,La Ronge,CA,55.1001,-105.2842,82.44,25,95,3.96,overcast clouds
3,Yinchuan,CN,38.4681,106.2731,73.71,52,100,2.39,light rain
4,Busselton,AU,-33.65,115.3333,54.19,75,100,7.36,overcast clouds
5,Kavieng,PG,-2.5744,150.7967,83.48,76,27,10.87,light rain
6,Mecca,SA,21.4267,39.8261,85.64,59,67,8.61,broken clouds
7,Lavrentiya,RU,65.5833,-171.0,44.91,99,100,8.59,moderate rain
8,Belaya Gora,RU,68.5333,146.4167,53.58,42,7,9.4,clear sky
9,Qaanaaq,GL,77.484,-69.3632,45.37,66,100,2.37,overcast clouds
10,Wanning,CN,18.8003,110.3967,80.78,85,90,9.28,overcast clouds
11,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.5,77,0,11.27,clear sky
12,Hovd,MN,48.0056,91.6419,59.79,50,0,1.21,clear sky
13,Prainha,BR,-1.8,-53.48,77.9,66,59,3.33,broken clouds
14,Kawalu,ID,-7.3817,108.2082,71.49,98,98,2.06,overcast clouds
15,Changji,CN,44.0167,87.3167,74.19,25,0,11.18,clear sky
16,Laguna,US,38.421,-121.4238,103.24,16,1,4.0,clear sky
17,Muirkirk,GB,55.5227,-4.0655,53.29,91,28,2.08,scattered clouds
18,Cape Town,ZA,-33.9258,18.4232,57.11,99,0,4.61,mist
19,Ulaanbaatar,MN,47.9077,106.8832,54.19,83,80,2.1,light rain
20,Atuona,PF,-9.8,-139.0333,77.67,76,18,19.69,few clouds
21,Avarua,CK,-21.2078,-159.775,80.65,74,90,12.66,moderate rain
22,Bluff,NZ,-46.6,168.3333,48.79,65,79,8.88,broken clouds
23,Warrington,GB,53.3925,-2.5802,56.86,86,24,2.3,few clouds
24,Kaitangata,NZ,-46.2817,169.8464,49.93,64,100,10.65,overcast clouds
25,Albany,US,42.6001,-73.9662,74.05,56,10,1.01,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,66.22,69,9,1.16,clear sky
27,Aklavik,CA,68.2191,-135.0107,59.72,70,94,15.86,overcast clouds
28,Great Yarmouth,GB,52.6083,1.7305,59.02,70,100,3.96,overcast clouds
29,Dakar,SN,14.6937,-17.4441,77.88,88,100,6.04,overcast clouds
30,Port Blair,IN,11.6667,92.75,81.21,82,99,22.03,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,69.08,54,79,20.42,broken clouds
32,Khatanga,RU,71.9667,102.5,67.64,58,80,10.67,broken clouds
33,Yulara,AU,-25.2406,130.9889,45.39,66,0,11.03,clear sky
34,Nome,US,64.5011,-165.4064,59.16,94,100,13.85,overcast clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,68.68,80,0,18.99,clear sky
36,Lusambo,CD,-4.9667,23.45,70.18,41,62,0.25,broken clouds
37,Hobart,AU,-42.8794,147.3294,46.27,87,75,4.0,broken clouds
38,Codrington,AU,-38.2667,141.9667,46.81,87,98,10.25,overcast clouds
39,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,81,0,6.04,clear sky
40,Kapaa,US,22.0752,-159.319,85.98,90,20,5.01,few clouds
41,Yellowknife,CA,62.456,-114.3525,89.56,24,0,13.0,clear sky
42,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,92,75,13.8,broken clouds
43,Hilo,US,19.7297,-155.09,78.24,78,90,9.22,light rain
44,Saint-Joseph,RE,-21.3667,55.6167,65.21,71,5,1.5,clear sky
45,New Norfolk,AU,-42.7826,147.0587,45.91,80,100,1.7,overcast clouds
46,Lebu,CL,-37.6167,-73.65,52.45,78,17,20.4,few clouds
47,Kodiak,US,57.79,-152.4072,56.71,77,90,6.91,overcast clouds
48,Sinop,TR,41.7711,34.8709,67.75,63,0,4.76,clear sky
49,Punta Arenas,CL,-53.15,-70.9167,39.11,87,40,24.16,scattered clouds
50,Pendleton,US,45.6721,-118.7886,100.74,22,1,3.0,clear sky
51,Ajdabiya,LY,30.7554,20.2263,88.18,27,0,9.84,clear sky
52,Vaitape,PF,-16.5167,-151.75,79.05,76,69,15.41,broken clouds
53,Pevek,RU,69.7008,170.3133,35.44,81,90,19.22,overcast clouds
54,Rumphi,MW,-11.0186,33.8575,56.91,67,22,3.96,few clouds
55,Vaini,TO,-21.2,-175.2,71.76,83,75,8.05,broken clouds
56,Vila Velha,BR,-20.3297,-40.2925,72.97,69,20,4.43,few clouds
57,Flagstaff,US,35.1981,-111.6513,89.89,29,1,4.0,clear sky
58,Turukhansk,RU,65.8167,87.9833,63.1,69,100,13.67,overcast clouds
59,Mataura,NZ,-46.1927,168.8643,48.47,91,100,2.71,overcast clouds
60,Barrow,US,71.2906,-156.7887,44.62,81,90,20.71,overcast clouds
61,Airai,TL,-8.9266,125.4092,60.49,71,75,3.33,broken clouds
62,Tiksi,RU,71.6872,128.8694,50.65,61,60,4.54,broken clouds
63,Sitka,US,57.0531,-135.33,60.75,73,97,4.29,overcast clouds
64,Klaksvik,FO,62.2266,-6.589,50.92,85,100,11.56,overcast clouds
65,Baykalsk,RU,51.5058,104.1469,56.48,92,100,3.69,overcast clouds
66,Qasigiannguit,GL,68.8193,-51.1922,52.05,78,95,7.2,overcast clouds
67,Stephenville Crossing,CA,48.5,-58.4318,64.22,84,98,4.65,overcast clouds
68,Pontianak,ID,-0.0333,109.3333,75.18,94,40,3.44,scattered clouds
69,Bandarbeyla,SO,9.4942,50.8122,78.3,70,13,30.18,few clouds
70,Baykit,RU,61.67,96.37,61.84,72,100,3.94,overcast clouds
71,Ilulissat,GL,69.2167,-51.1,51.82,50,99,9.22,overcast clouds
72,Morondava,MG,-20.2833,44.2833,68.04,71,9,13.67,clear sky
73,Linxia,CN,35.6003,103.2064,61.2,79,100,4.45,overcast clouds
74,Hasaki,JP,35.7333,140.8333,84.42,84,94,11.65,overcast clouds
75,Ribeira Grande,PT,38.5167,-28.7,73.33,92,54,7.16,broken clouds
76,Loja,EC,-3.9931,-79.2042,56.34,81,24,5.59,light rain
77,Aswan,EG,24.0934,32.907,91.49,15,3,9.13,clear sky
78,Srednekolymsk,RU,67.45,153.6833,49.62,50,70,11.32,broken clouds
79,Havelock,US,34.8791,-76.9013,80.55,92,75,1.99,broken clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,87,90,9.22,light rain
81,Husavik,IS,66.0449,-17.3389,52.12,90,80,2.86,broken clouds
82,Camacha,PT,33.0833,-16.3333,69.22,73,40,10.36,scattered clouds
83,Taoudenni,ML,22.6783,-3.9836,94.41,32,86,12.17,overcast clouds
84,Margate,GB,51.3813,1.3862,61.03,75,100,1.99,overcast clouds
